body,label,lref,lmax,eps
earth,Gravity (EGM2008 geoid),360,297,0.0038959172820878956
earth,Gravity (EGM2008 geoid),360,298,0.003854227220463347
earth,Gravity (EGM2008 geoid),360,299,0.003811556013149484
earth,Gravity (EGM2008 geoid),360,300,0.0037673413652734773
earth,Gravity (EGM2008 geoid),360,301,0.0037235333652171415
earth,Gravity (EGM2008 geoid),360,302,0.003683312462210166
earth,Gravity (EGM2008 geoid),360,303,0.0036376640934660067
earth,Gravity (EGM2008 geoid),360,304,0.0035939720487241328
earth,Gravity (EGM2008 geoid),360,305,0.0035496766087048225
earth,Gravity (EGM2008 geoid),360,306,0.0035069528682622176
earth,Gravity (EGM2008 geoid),360,307,0.0034647130940416537
earth,Gravity (EGM2008 geoid),360,308,0.0034231560895377276
earth,Gravity (EGM2008 geoid),360,309,0.0033730298916958574
earth,Gravity (EGM2008 geoid),360,310,0.0033287951583760877
earth,Gravity (EGM2008 geoid),360,311,0.003284169352915053
earth,Gravity (EGM2008 geoid),360,312,0.0032398791367609357
earth,Gravity (EGM2008 geoid),360,313,0.003195335429684836
earth,Gravity (EGM2008 geoid),360,314,0.003154929024529398
earth,Gravity (EGM2008 geoid),360,315,0.0031095113101690624
earth,Gravity (EGM2008 geoid),360,316,0.0030676154704778204
earth,Gravity (EGM2008 geoid),360,317,0.0030233604170378362
earth,Gravity (EGM2008 geoid),360,318,0.002970360500587761
earth,Gravity (EGM2008 geoid),360,319,0.002926096781042651
earth,Gravity (EGM2008 geoid),360,320,0.0028781754311292835
earth,Gravity (EGM2008 geoid),360,321,0.002829882206459628
earth,Gravity (EGM2008 geoid),360,322,0.002782148390046419
earth,Gravity (EGM2008 geoid),360,323,0.002736251300174668
earth,Gravity (EGM2008 geoid),360,324,0.0026907211963492655
earth,Gravity (EGM2008 geoid),360,325,0.002646277769656774
earth,Gravity (EGM2008 geoid),360,326,0.0025996094168698933
earth,Gravity (EGM2008 geoid),360,327,0.002553352368168432
earth,Gravity (EGM2008 geoid),360,328,0.002504915583367385
earth,Gravity (EGM2008 geoid),360,329,0.002459536117564961
earth,Gravity (EGM2008 geoid),360,330,0.0024156501028586
earth,Gravity (EGM2008 geoid),360,331,0.0023672322865359754
earth,Gravity (EGM2008 geoid),360,332,0.002322149662202798
earth,Gravity (EGM2008 geoid),360,333,0.0022730644339126194
earth,Gravity (EGM2008 geoid),360,334,0.0022272063492546476
earth,Gravity (EGM2008 geoid),360,335,0.0021787380325147135
earth,Gravity (EGM2008 geoid),360,336,0.0021264331724305577
earth,Gravity (EGM2008 geoid),360,337,0.0020752496052389917
earth,Gravity (EGM2008 geoid),360,338,0.002025984121437496
earth,Gravity (EGM2008 geoid),360,339,0.00197603869059489
earth,Gravity (EGM2008 geoid),360,340,0.001920325360467307
earth,Gravity (EGM2008 geoid),360,341,0.0018619975622030604
earth,Gravity (EGM2008 geoid),360,342,0.0018076618142549923
earth,Gravity (EGM2008 geoid),360,343,0.0017508449090285893
earth,Gravity (EGM2008 geoid),360,344,0.001690994672189149
earth,Gravity (EGM2008 geoid),360,345,0.0016330430253704317
earth,Gravity (EGM2008 geoid),360,346,0.0015824244222172289
earth,Gravity (EGM2008 geoid),360,347,0.001519917318785715
earth,Gravity (EGM2008 geoid),360,348,0.0014576976972396115
earth,Gravity (EGM2008 geoid),360,349,0.0013949427716603425
earth,Gravity (EGM2008 geoid),360,350,0.0013292030064054575
earth,Gravity (EGM2008 geoid),360,351,0.001261474159299901
earth,Gravity (EGM2008 geoid),360,352,0.001185885439621493
earth,Gravity (EGM2008 geoid),360,353,0.001106496146918073
earth,Gravity (EGM2008 geoid),360,354,0.001024341620168473
earth,Gravity (EGM2008 geoid),360,355,0.0009326034173502472
earth,Gravity (EGM2008 geoid),360,356,0.000842483094972924
earth,Gravity (EGM2008 geoid),360,357,0.0007317535608496445
earth,Gravity (EGM2008 geoid),360,358,0.0006055921061885515
earth,Gravity (EGM2008 geoid),360,359,0.00042909733241814393
earth,Gravity (EGM2008 geoid),360,360,0.0
